/net3 X,/net3 Y,/net8 X,/net8 Y,/04 X,/04 Y
1.232275356548585e-09,0,1.232275356548585e-09,2.784949644004998,1.232275356548585e-09,4.511108460709124
1.238052403360212e-09,0,1.238052403360212e-09,2.850873702965723,1.238052403360212e-09,4.437749936237958
1.243324615953157e-09,0,1.243324615953157e-09,2.91021562124546,1.243324615953157e-09,4.363404455671956
1.248046290576054e-09,0,1.248046290576054e-09,2.962801731320534,1.248046290576054e-09,4.289640250954077
1.257489639821849e-09,0,1.257489639821849e-09,3.064393701787183,1.257489639821849e-09,4.12023128468994
1.26281025871465e-09,0,1.26281025871465e-09,3.118595743938434,1.26281025871465e-09,4.012421807329105
1.273451496500253e-09,0,1.273451496500253e-09,3.220021765067376,1.273451496500253e-09,3.770607055589904
1.28133148179283e-09,0,1.28133148179283e-09,3.289359134302565,1.28133148179283e-09,3.569727940461777
1.290363671436702e-09,0,1.290363671436702e-09,3.363239869680332,1.290363671436702e-09,3.317963457393463
1.29922531940267e-09,0,1.29922531940267e-09,3.430363177603609,1.29922531940267e-09,3.050185450972384
1.308322734217316e-09,0,1.308322734217316e-09,3.494217447567575,1.308322734217316e-09,2.755839945652338
1.316845304905363e-09,0,1.316845304905363e-09,3.549798590879492,1.316845304905363e-09,2.46423497497999
1.323959019315132e-09,0,1.323959019315132e-09,3.593329778442977,1.323959019315132e-09,2.210760085820576
1.329059296202694e-09,0,1.329059296202694e-09,3.623070195208789,1.329059296202694e-09,2.024431786984294
1.333029768310146e-09,0,1.333029768310146e-09,3.645439964138106,1.333029768310146e-09,1.877495758703884
1.340970712525051e-09,0,1.340970712525051e-09,3.688412692779182,1.340970712525051e-09,1.584988044574978
1.349405858183353e-09,0,1.349405858183353e-09,3.731027149555013,1.349405858183353e-09,1.296186099883392
1.355760217741236e-09,0,1.355760217741236e-09,3.760716252807375,1.355760217741236e-09,1.103748012180959
1.362579639223657e-09,0,1.362579639223657e-09,3.791998244788302,1.362579639223657e-09,0.923378359598284
1.369204215240995e-09,0,1.369204215240995e-09,3.82306600277646,1.369204215240995e-09,0.773136405904205
1.374534237899103e-09,0,1.374534237899103e-09,3.848919531685869,1.374534237899103e-09,0.6689431120720625
1.379536613340861e-09,0,1.379536613340861e-09,3.873919958876819,1.379536613340861e-09,0.583581463687212
1.38414279619488e-09,0,1.38414279619488e-09,3.89750588829476,1.38414279619488e-09,0.514652561448758
1.393355161902919e-09,0,1.393355161902919e-09,3.945778568101656,1.393355161902919e-09,0.4003763043880319
1.397648258777515e-09,0,1.397648258777515e-09,3.968649418528524,1.397648258777515e-09,0.3567140467345393
1.406234452526709e-09,0,1.406234452526709e-09,4.014545632323275,1.406234452526709e-09,0.2838744878531413
1.410973561123455e-09,0,1.410973561123455e-09,4.039822084457143,1.410973561123455e-09,0.2508846697846468
1.420451778316946e-09,0,1.420451778316946e-09,4.089758481684099,1.420451778316946e-09,0.1967525326274425
1.425848840810293e-09,0,1.425848840810293e-09,4.117702843475059,1.425848840810293e-09,0.1719678860022259
1.432456350503957e-09,0,1.432456350503957e-09,4.151295137099599,1.432456350503957e-09,0.1463854015466607
1.438746345827719e-09,0,1.438746345827719e-09,4.182573834717257,1.438746345827719e-09,0.1260817108627399
1.445574157434371e-09,0,1.445574157434371e-09,4.215730523264163,1.445574157434371e-09,0.1077222447929546
1.452751621638627e-09,0,1.452751621638627e-09,4.249731530958818,1.452751621638627e-09,0.09181857090093432
1.460563011925345e-09,0,1.460563011925345e-09,4.285869165516105,1.460563011925345e-09,0.07770143355356171
1.469395799146826e-09,0,1.469395799146826e-09,4.325840861604994,1.469395799146826e-09,0.0648758822619749
1.480377568768277e-09,0,1.480377568768277e-09,4.374208112003189,1.480377568768277e-09,0.05243683013934002
1.489953162843848e-09,0,1.489953162843848e-09,4.414704130385763,1.489953162843848e-09,0.04410809374026295
1.509104350994991e-09,0,1.509104350994991e-09,4.489341691950846,1.509104350994991e-09,0.03227974430333255
1.524632996384642e-09,0,1.524632996384642e-09,4.543201310878948,1.524632996384642e-09,0.02609095877228754
1.5390333715161e-09,0,1.5390333715161e-09,4.588101917205296,1.5390333715161e-09,0.02209393164771753
1.554487525983972e-09,0,1.554487525983972e-09,4.631398353793283,1.554487525983972e-09,0.01892754579955804
1.571611921564138e-09,0,1.571611921564138e-09,4.674085545620966,1.571611921564138e-09,0.01623999054843903
1.590722443801294e-09,0,1.590722443801294e-09,4.7159207974594,1.590722443801294e-09,0.01387256981903862
1.612009765726147e-09,0,1.612009765726147e-09,4.756239071199966,1.612009765726147e-09,0.01174487874849273
