/net010 X,/net010 Y,/o1 X,/o1 Y,/net1 X,/net1 Y
1.164581161104412e-09,1.954059161207729,1.164581161104412e-09,0.3000378432482874,1.164581161104412e-09,5
1.167668120749755e-09,1.869192798338221,1.167668120749755e-09,0.3650474758057725,1.167668120749755e-09,5
1.170347089181e-09,1.797219941245244,1.170347089181e-09,0.4283232462001931,1.170347089181e-09,5
1.172681683343867e-09,1.735583355399474,1.172681683343867e-09,0.4897931686623788,1.172681683343867e-09,5
1.175055710880226e-09,1.674334162063873,1.175055710880226e-09,0.5584709367269958,1.175055710880226e-09,5
1.179803765952944e-09,1.557894547999429,1.179803765952944e-09,0.7129077192949804,1.179803765952944e-09,5
1.183861488171319e-09,1.465282091180353,1.183861488171319e-09,0.8612792901615105,1.183861488171319e-09,5
1.187908437513444e-09,1.37911781404011,1.187908437513444e-09,1.022926891221353,1.187908437513444e-09,5
1.192678889418579e-09,1.285090984533044,1.192678889418579e-09,1.228913783432244,1.192678889418579e-09,5
1.197599227652664e-09,1.196106803912617,1.197599227652664e-09,1.456282885272207,1.197599227652664e-09,5
1.202652333415498e-09,1.112505270612252,1.202652333415498e-09,1.702489633631803,1.202652333415498e-09,5
1.207902159291398e-09,1.033173676495862,1.207902159291398e-09,1.968334217384195,1.207902159291398e-09,5
1.213320212579694e-09,0.9581719862402845,1.213320212579694e-09,2.249333204719834,1.213320212579694e-09,5
1.218904712551101e-09,0.8863858977544586,1.218904712551101e-09,2.541252882847097,1.218904712551101e-09,5
1.224614355123243e-09,0.8175129131585687,1.224614355123243e-09,2.835294207237937,1.224614355123243e-09,5
1.22999634076646e-09,0.7580780453309193,1.22999634076646e-09,3.098870371038856,1.22999634076646e-09,5
1.234765059478668e-09,0.7120231004787786,1.234765059478668e-09,3.312987604342435,1.234765059478668e-09,5
1.23937285410995e-09,0.673194952373588,1.23937285410995e-09,3.499782657905357,1.23937285410995e-09,5
1.245863787302823e-09,0.6244685972328711,1.245863787302823e-09,3.731386998820945,1.245863787302823e-09,5
1.254658484690784e-09,0.5642271441247518,1.254658484690784e-09,3.993287251777797,1.254658484690784e-09,5
1.263136841183304e-09,0.509451749813324,1.263136841183304e-09,4.197170187508575,1.263136841183304e-09,5
