/net03 X,/net03 Y,/o X,/o Y,/net1 X,/net1 Y
1.018916738680412e-09,5.123989310798751,1.018916738680412e-09,0.01815422623660816,1.018916738680412e-09,0.9458369340205861
1.020293525953173e-09,5.132582374909354,1.020293525953173e-09,0.01896038039108989,1.020293525953173e-09,1.014676297658653
1.021569573476691e-09,5.140253043281768,1.021569573476691e-09,0.01960835267002466,1.021569573476691e-09,1.078478673834524
1.022762658391941e-09,5.147012050732254,1.022762658391941e-09,0.02009917643207234,1.022762658391941e-09,1.138132919597026
1.024341954496874e-09,5.155242793803865,1.024341954496874e-09,0.02056620489337568,1.024341954496874e-09,1.217097724843704
1.026965401981537e-09,5.166976563618498,1.026965401981537e-09,0.02088978497834801,1.026965401981537e-09,1.348270099076837
1.030161301492181e-09,5.177893235825858,1.030161301492181e-09,0.02057067360101705,1.030161301492181e-09,1.508065074609056
1.033347405247787e-09,5.185033583670887,1.033347405247787e-09,0.01954461418047591,1.033347405247787e-09,1.667370262389346
1.03634469124112e-09,5.188327880533365,1.03634469124112e-09,0.01800382831325335,1.03634469124112e-09,1.817234562055995
1.039292394465651e-09,5.188339284767908,1.039292394465651e-09,0.01600890819907768,1.039292394465651e-09,1.964619723282562
1.042256350495146e-09,5.185140780453044,1.042256350495146e-09,0.01358276849822652,1.042256350495146e-09,2.112817524757283
1.045291025987133e-09,5.178551819087886,1.045291025987133e-09,0.01071754631444353,1.045291025987133e-09,2.264551299356671
1.048450021677982e-09,5.168147448598845,1.048450021677982e-09,0.007377665734247823,1.048450021677982e-09,2.422501083899102
1.051780226502185e-09,5.153266170639098,1.051780226502185e-09,0.003511639174646189,1.051780226502185e-09,2.589011325109223
1.055343230346571e-09,5.13287284415369,1.055343230346571e-09,-0.00101707569335421,1.055343230346571e-09,2.767161517328558
1.062469238035345e-09,5.077811317895085,1.062469238035345e-09,-0.01135534674022851,1.062469238035345e-09,3.123461901767226
1.065436448002014e-09,5.049031910289153,1.065436448002014e-09,-0.01602509629309585,1.065436448002014e-09,3.271822400100686
1.068075465539316e-09,5.020352722721132,1.068075465539316e-09,-0.02036987377037618,1.068075465539316e-09,3.403773276965819
1.073353500613922e-09,4.954297303438959,1.073353500613922e-09,-0.02950737856006281,1.073353500613922e-09,3.667675030696085
1.074969822607911e-09,4.931109866651025,1.074969822607911e-09,-0.0325504537308743,1.074969822607911e-09,3.748491130395522
1.076766311496631e-09,4.902735238990755,1.076766311496631e-09,-0.03625684367910456,1.076766311496631e-09,3.838315574831537
1.078441297674546e-09,4.872407675197669,1.078441297674546e-09,-0.04029368921092627,1.078441297674546e-09,3.922064883727305
1.079657522835067e-09,4.847735600784582,1.079657522835067e-09,-0.04362256484604767,1.079657522835067e-09,3.982876141753354
1.081424352603332e-09,4.808766278296327,1.081424352603332e-09,-0.04883581758073357,1.081424352603332e-09,4.071217630166612
1.082813941759657e-09,4.77528912935372,1.082813941759657e-09,-0.05327877720067376,1.082813941759657e-09,4.140697087982839
1.085149188679643e-09,4.713774691213235,1.085149188679643e-09,-0.06129614120659728,1.085149188679643e-09,4.257459433982124
1.08669870470255e-09,4.670375482954603,1.08669870470255e-09,-0.06675727630969733,1.08669870470255e-09,4.334935235127501
1.088104822468094e-09,4.629479722833036,1.088104822468094e-09,-0.07174996114241859,1.088104822468094e-09,4.405241123404692
1.090235621928425e-09,4.564816622268906,1.090235621928425e-09,-0.07937662124399936,1.090235621928425e-09,4.511781096421229
1.094497220849086e-09,4.426056222610135,1.094497220849086e-09,-0.09505076235178177,1.094497220849086e-09,4.724861042454303
1.096287099827722e-09,4.364892090147459,1.096287099827722e-09,-0.102206007888851,1.096287099827722e-09,4.814354991386081
1.097995363285242e-09,4.306153887754782,1.097995363285242e-09,-0.1098356648012845,1.097995363285242e-09,4.899768164262079
1.098997681642621e-09,4.271635627828381,1.098997681642621e-09,-0.1146742380260928,1.098997681642621e-09,4.949884082131041
1.1e-09,4.236897711428846,1.1e-09,-0.1196513952181425,1.1e-09,5
