O X,O Y,net8 X,net8 Y,net3 X,net3 Y
1.796816375950633e-09,0.00147015070138674,1.796816375950633e-09,4.972392772632626,1.796816375950633e-09,0
1.842701735765289e-09,0.0009246484415005158,1.842701735765289e-09,4.980671877042728,1.842701735765289e-09,0
1.897720404114388e-09,0.0005304751781335607,1.897720404114388e-09,4.986928215079415,1.897720404114388e-09,0
1.965290071845203e-09,0.000267745630896122,1.965290071845203e-09,4.991407656929812,1.965290071845203e-09,0
2.051244430900878e-09,0.0001113849452204157,2.051244430900878e-09,4.994427436221749,2.051244430900878e-09,0
2.165565296720379e-09,3.38810411506435e-05,2.165565296720379e-09,4.996338781460346,2.165565296720379e-09,0
2.326568582534144e-09,6.298481812465182e-06,2.326568582534144e-09,4.997512046115461,2.326568582534144e-09,0
2.559152219211264e-09,2.251378573103221e-06,2.559152219211264e-09,4.998254149254922,2.559152219211264e-09,0
2.809152219211264e-09,3.708658447150569e-06,2.809152219211264e-09,4.99865396805358,2.809152219211264e-09,0
3.059152219211264e-09,3.954050838516408e-06,3.059152219211264e-09,4.998908724233128,3.059152219211264e-09,0
3.309152219211265e-09,3.293078010861006e-06,3.309152219211265e-09,4.999092161163093,3.309152219211265e-09,0
3.559152219211265e-09,2.514645345830468e-06,3.559152219211265e-09,4.999228455021372,3.559152219211265e-09,0
3.809152219211265e-09,1.913682562253365e-06,3.809152219211265e-09,4.999331342460404,3.809152219211265e-09,0
4.059152219211265e-09,1.499691735811091e-06,4.059152219211265e-09,4.999410805317661,4.059152219211265e-09,0
4.309152219211264e-09,1.212666388320134e-06,4.309152219211264e-09,4.999473826321619,4.309152219211264e-09,0
4.559152219211264e-09,1.003785549275429e-06,4.559152219211264e-09,4.999525030514627,4.559152219211264e-09,0
4.809152219211264e-09,8.44916538682317e-07,4.809152219211264e-09,4.999567461089031,4.809152219211264e-09,0
5.059152219211264e-09,7.206450521576313e-07,5.059152219211264e-09,4.999603181424204,5.059152219211264e-09,0
5.309152219211263e-09,6.216914171628081e-07,5.309152219211263e-09,4.999633648249281,5.309152219211263e-09,0
5.559152219211263e-09,5.417973492865252e-07,5.559152219211263e-09,4.999659925783986,5.559152219211263e-09,0
5.809152219211263e-09,4.764752783527852e-07,5.809152219211263e-09,4.999682811258884,5.809152219211263e-09,0
5.954576109605631e-09,4.444508671734818e-07,5.954576109605631e-09,4.999694779641856,5.954576109605631e-09,0
6.1e-09,4.158043975704227e-07,6.1e-09,4.999705908557965,6.1e-09,0
6.103125e-09,0.00175304813085951,6.103125e-09,5.009016701863882,6.103125e-09,0.1562500000000117
6.107107138184934e-09,0.003716662715198043,6.107107138184934e-09,5.020537921355648,6.107107138184934e-09,0.3553569092467098
6.115071414554802e-09,0.006668676894285915,6.115071414554802e-09,5.042236437175075,6.115071414554802e-09,0.7535707277401058
6.122895059514091e-09,0.008550495302856747,6.122895059514091e-09,5.062025511995794,6.122895059514091e-09,1.144752975704543
6.129540240765175e-09,0.009559261957975029,6.129540240765175e-09,5.077867422012066,6.129540240765175e-09,1.477012038258764
6.134194381301416e-09,0.01002603401554572,6.134194381301416e-09,5.088538728588435,6.134194381301416e-09,1.70971906507078
6.138687599395642e-09,0.01034517731865903,6.138687599395642e-09,5.098593957564414,6.138687599395642e-09,1.934379969782102
6.144694777103844e-09,0.01064646738370264,6.144694777103844e-09,5.111824909865587,6.144694777103844e-09,2.23473885519221
6.151861453082424e-09,0.01111289317911679,6.151861453082424e-09,5.128698950019537,6.151861453082424e-09,2.593072654121197
6.159783866207877e-09,0.01170543359656915,6.159783866207877e-09,5.148539361410941,6.159783866207877e-09,2.989193310393849
6.166121078404846e-09,0.01148880169286243,6.166121078404846e-09,5.161225595856664,6.166121078404846e-09,3.306053920242316
6.17519812274085e-09,0.009350404272416847,6.17519812274085e-09,5.168510725306684,6.17519812274085e-09,3.759906137042518
6.181981086724462e-09,0.005959191230409683,6.181981086724462e-09,5.161746526955139,6.181981086724462e-09,4.099054336223091
6.188278511992208e-09,0.0003762355238056611,6.188278511992208e-09,5.138458032452597,6.188278511992208e-09,4.413925599610403
6.194357144201e-09,-0.007752522150504395,6.194357144201e-09,5.096825114788976,6.194357144201e-09,4.717857210050013
6.1971785721005e-09,-0.01190211076613782,6.1971785721005e-09,5.072770030262952,6.1971785721005e-09,4.858928605024987
6.2e-09,-0.01622795029538871,6.2e-09,5.045731904657039,6.2e-09,5
6.200601727053175e-09,-0.01729813185187864,6.200601727053175e-09,5.038944131646913,6.200601727053175e-09,5
6.20123856891343e-09,-0.01843827105001834,6.20123856891343e-09,5.031635119054258,6.20123856891343e-09,5
6.202027583753533e-09,-0.01986266328176565,6.202027583753533e-09,5.022352358685657,6.202027583753533e-09,5
6.203605613433738e-09,-0.02274461167978037,6.203605613433738e-09,5.003007852611144,6.203605613433738e-09,5
6.206761672794148e-09,-0.02858565751625245,6.206761672794148e-09,4.961393753281705,6.206761672794148e-09,5
6.21196178441847e-09,-0.03821369289538976,6.21196178441847e-09,4.885335598527791,6.21196178441847e-09,5
6.217110305040794e-09,-0.04752504612739914,6.217110305040794e-09,4.802099122824502,6.217110305040794e-09,5
6.222380089368629e-09,-0.05663507037682676,6.222380089368629e-09,4.710062637198721,6.222380089368629e-09,5
6.228038700131162e-09,-0.06580528212560315,6.228038700131162e-09,4.604928779800867,6.228038700131162e-09,5
6.234125435001143e-09,-0.07493412352908431,6.234125435001143e-09,4.486033167088081,6.234125435001143e-09,5
6.240779697373955e-09,-0.08475254470196537,6.240779697373955e-09,4.352211667366416,6.240779697373955e-09,5
6.248150748532222e-09,-0.09714426705645875,6.248150748532222e-09,4.206908039344584,6.248150748532222e-09,5
6.256138964596277e-09,-0.1063491638443622,6.256138964596277e-09,4.049498719718157,6.256138964596277e-09,5
6.26545507863845e-09,-0.1068462031776453,6.26545507863845e-09,3.86346361130479,6.26545507863845e-09,5
6.276152515429332e-09,-0.09269077985970645,6.276152515429332e-09,3.647897246085556,6.276152515429332e-09,5
6.288626814647334e-09,-0.05609533548991619,6.288626814647334e-09,3.395587142455835,6.288626814647334e-09,5
6.303405549274816e-09,0.01445504927946721,6.303405549274816e-09,3.097548350565924,6.303405549274816e-09,5
6.320768836530315e-09,0.132809618373031,6.320768836530315e-09,2.754137774385173,6.320768836530315e-09,5
6.338293894355206e-09,0.3019918708135692,6.338293894355206e-09,2.428594918385819,6.338293894355206e-09,5
6.353174969649785e-09,0.5004533137500541,6.353174969649785e-09,2.176964816668032,6.353174969649785e-09,5
6.36246794636539e-09,0.6667332781947509,6.36246794636539e-09,2.03028576001777,6.36246794636539e-09,5
6.37155884509138e-09,0.8725541637932737,6.37155884509138e-09,1.895354429054248,6.37155884509138e-09,5
6.38094703559003e-09,1.127273752485484,6.38094703559003e-09,1.766751044058956,6.38094703559003e-09,5
6.395780417473097e-09,1.605736689978117,6.395780417473097e-09,1.58439540943533,6.395780417473097e-09,5
6.408923717832606e-09,2.090442562572024,6.408923717832606e-09,1.441705693636379,6.408923717832606e-09,5
6.419920310046923e-09,2.524159158364033,6.419920310046923e-09,1.334083653760595,6.419920310046923e-09,5
6.430097406464199e-09,2.932227153467352,6.430097406464199e-09,1.242553511737404,6.430097406464199e-09,5
6.439261586512886e-09,3.285251350498452,6.439261586512886e-09,1.166094183018721,6.439261586512886e-09,5
6.446917455021703e-09,3.550815433267399,6.446917455021703e-09,1.107883004960709,6.446917455021703e-09,5
6.453567684219892e-09,3.753348665687342,6.453567684219892e-09,1.061450965802226,6.453567684219892e-09,5
6.461828853834583e-09,3.97056341841585,6.461828853834583e-09,1.006760000364023,6.461828853834583e-09,5
6.475059378396461e-09,4.249005997429152,6.475059378396461e-09,0.9221453946149437,6.475059378396461e-09,5
6.487090016972993e-09,4.440321922007607,6.487090016972993e-09,0.8464339509598567,6.487090016972993e-09,5
6.498222706237113e-09,4.574749071466513,6.498222706237113e-09,0.7777055230296174,6.498222706237113e-09,5
6.509917678383427e-09,4.680961559857028,6.509917678383427e-09,0.7083778257476082,6.509917678383427e-09,5
6.52216308969415e-09,4.7627268947234,6.52216308969415e-09,0.6399915295792268,6.52216308969415e-09,5
6.534869978414127e-09,4.824004989506305,6.534869978414127e-09,0.5741228877543421,6.534869978414127e-09,5
6.548455327492249e-09,4.8705164345908,6.548455327492249e-09,0.5096802128679749,6.548455327492249e-09,5
6.56335174654834e-09,4.905887999151844,6.56335174654834e-09,0.4460742641806418,6.56335174654834e-09,5
6.580003988759795e-09,4.932527692034533,6.580003988759795e-09,0.383311075763152,6.580003988759795e-09,5
6.598954989307423e-09,4.952291161709132,6.598954989307423e-09,0.3217278279439671,6.598954989307423e-09,5
6.620905963971421e-09,4.96671195389965,6.620905963971421e-09,0.2619723413257471,6.620905963971421e-09,5
6.638036579897361e-09,4.97393886827585,6.638036579897361e-09,0.2229482765314972,6.638036579897361e-09,5
6.658365708882389e-09,4.979904714922736,6.658365708882389e-09,0.1839579935287725,6.658365708882389e-09,5
6.680118924845376e-09,4.984398875891322,6.680118924845376e-09,0.1496334036441155,6.680118924845376e-09,5
6.704998922023838e-09,4.988088662116636,6.704998922023838e-09,0.1180355301037972,6.704998922023838e-09,5
6.733144493236354e-09,4.991095823842897,6.733144493236354e-09,0.09013249728176254,6.733144493236354e-09,5
6.758002048184858e-09,4.99305053457254,6.758002048184858e-09,0.07102593773301005,6.758002048184858e-09,5
6.807717158081866e-09,4.995785537651473,6.807717158081866e-09,0.04361534950522,6.807717158081866e-09,5
6.844583820408834e-09,4.997089635715789,6.844583820408834e-09,0.03025920956798472,6.844583820408834e-09,5
6.880335867527354e-09,4.997960221529784,6.880335867527354e-09,0.02124718691324655,6.880335867527354e-09,5
6.924329928844259e-09,4.998687067518172,6.924329928844259e-09,0.01369300281833053,6.924329928844259e-09,5
6.976070641498959e-09,4.999228153683331,6.976070641498959e-09,0.008059707440732668,6.976070641498959e-09,5
7.037696702994478e-09,4.999602607094062,7.037696702994478e-09,0.004155475681042485,7.037696702994478e-09,5
7.114964385783015e-09,4.999842817569973,7.114964385783015e-09,0.001646335421554315,7.114964385783015e-09,5
7.216129669300455e-09,4.999972787386201,7.216129669300455e-09,0.0002858802975035102,7.216129669300455e-09,5
7.356655211076612e-09,5.000021429062775,7.356655211076612e-09,-0.000224422544910354,7.356655211076612e-09,5
7.571645781512425e-09,5.000021874086921,7.571645781512425e-09,-0.00022844674286267,7.571645781512425e-09,5
7.821645781512426e-09,5.000008649877209,7.821645781512426e-09,-8.970989554990159e-05,7.821645781512426e-09,5
8.071645781512426e-09,5.000001610407883,8.071645781512426e-09,-1.661785849783334e-05,8.071645781512426e-09,5
8.321645781512427e-09,4.999999698431102,8.321645781512427e-09,3.037961907211044e-06,8.321645781512427e-09,5
8.571645781512427e-09,4.999999623401276,8.571645781512427e-09,3.782498219499618e-06,8.571645781512427e-09,5
8.821645781512428e-09,4.999999831333128,8.821645781512428e-09,1.634338240950542e-06,8.821645781512428e-09,5
9.071645781512429e-09,4.999999949503756,9.071645781512429e-09,4.049930491050978e-07,9.071645781512429e-09,5
9.321645781512429e-09,4.999999984396866,9.321645781512429e-09,3.901444305827335e-08,9.321645781512429e-09,5
9.57164578151243e-09,4.999999987268638,9.57164578151243e-09,8.230509080670262e-09,9.57164578151243e-09,5
9.82164578151243e-09,4.999999984223868,9.82164578151243e-09,4.002994345799619e-08,9.82164578151243e-09,5
1.007164578151243e-08,4.999999982251801,1.007164578151243e-08,6.068793164347016e-08,1.007164578151243e-08,5
1.032164578151243e-08,4.999999981617234,1.032164578151243e-08,6.733517808125882e-08,1.032164578151243e-08,5
1.057164578151243e-08,4.999999981543136,1.057164578151243e-08,6.811076501737244e-08,1.057164578151243e-08,5
1.082164578151243e-08,4.999999981587412,1.082164578151243e-08,6.764722062624243e-08,1.082164578151243e-08,5
1.096082289075622e-08,4.999999981612473,1.096082289075622e-08,6.738497836924071e-08,1.096082289075622e-08,5
1.11e-08,4.999999981625983,1.11e-08,6.72436343505737e-08,1.11e-08,5
1.110385928560997e-08,4.998904725922475,1.110385928560997e-08,-0.005711116710479127,1.110385928560997e-08,4.807035719501663
1.110807390974211e-08,4.997661087045409,1.110807390974211e-08,-0.01265376507600654,1.110807390974211e-08,4.59630451289437
1.11165031580064e-08,4.994782012660124,1.11165031580064e-08,-0.03072188446558877,1.11165031580064e-08,4.174842099679787
1.112933224784588e-08,4.991992737051114,1.112933224784588e-08,-0.05543711773290864,1.112933224784588e-08,3.533387607706245
1.11396333724431e-08,4.993523670606606,1.11396333724431e-08,-0.05771614971124327,1.11396333724431e-08,3.018331377845187
1.114886247282324e-08,4.997615915684751,1.114886247282324e-08,-0.0434346617991932,1.114886247282324e-08,2.55687635883804
1.116363898429326e-08,5.008785452560466,1.116363898429326e-08,0.0151139592705795,1.116363898429326e-08,1.818050785336994
1.118319320943537e-08,5.029445850949773,1.118319320943537e-08,0.1620277193803413,1.118319320943537e-08,0.8403395282313424
1.118940271742866e-08,5.037559843176552,1.118940271742866e-08,0.2275290970627721,1.118940271742866e-08,0.5298641285669952
1.119499267649453e-08,5.045580304333832,1.119499267649453e-08,0.2955052897707293,1.119499267649453e-08,0.2503661752735411
1.12e-08,5.053308408863103,1.12e-08,0.3639443524249972,1.12e-08,3.819167204710538e-14
1.120106208578175e-08,5.055485001603546,1.120106208578175e-08,0.3816859708887704,1.120106208578175e-08,0
1.120200979582951e-08,5.05737916656214,1.120200979582951e-08,0.3974609976947562,1.120200979582951e-08,0
1.120312325310224e-08,5.059525744627438,1.120312325310224e-08,0.4158980790872478,1.120312325310224e-08,0
1.120535016764769e-08,5.063559331956319,1.120535016764769e-08,0.4524589746787814,1.120535016764769e-08,0
1.120980399673861e-08,5.070717140187778,1.120980399673861e-08,0.5245502610148361,1.120980399673861e-08,0
1.121871165492043e-08,5.082274812009312,1.121871165492043e-08,0.6660080686845804,1.121871165492043e-08,0
1.12288994440215e-08,5.092343492955679,1.12288994440215e-08,0.8247594646984386,1.12288994440215e-08,0
1.124000547106207e-08,5.100844761278299,1.124000547106207e-08,0.9915909265721314,1.124000547106207e-08,0
1.12520982779754e-08,5.102035563673746,1.12520982779754e-08,1.168768771982882,1.12520982779754e-08,0
1.126593487207936e-08,5.08836413061865,1.126593487207936e-08,1.369856417847281,1.126593487207936e-08,0
1.128333831905924e-08,5.048472592425433,1.128333831905924e-08,1.619838272294331,1.128333831905924e-08,0
1.12923603023222e-08,5.018178340095854,1.12923603023222e-08,1.747869959437631,1.12923603023222e-08,0
1.131040426884814e-08,4.941551215720216,1.131040426884814e-08,2.000567557429006,1.131040426884814e-08,0
1.133444325793398e-08,4.80090509191147,1.133444325793398e-08,2.326149028845228,1.133444325793398e-08,0
1.134711291566148e-08,4.705959297222184,1.134711291566148e-08,2.491574206376561,1.134711291566148e-08,0
1.136863836163593e-08,4.498494824519169,1.136863836163593e-08,2.761411712230061,1.136863836163593e-08,0
1.13799460674837e-08,4.353577895118907,1.13799460674837e-08,2.899140882778085,1.13799460674837e-08,0
1.139167411181761e-08,4.159827711936427,1.139167411181761e-08,3.040438633466846,1.139167411181761e-08,0
1.14024258958664e-08,3.941039978689885,1.14024258958664e-08,3.165642626982838,1.14024258958664e-08,0
1.141919183922813e-08,3.520757372675723,1.141919183922813e-08,3.3494923795467,1.141919183922813e-08,0
