/o1 X,/o1 Y,/net09 X,/net09 Y,/net1 X,/net1 Y
1.039367857708907e-09,0.006644380388003485,1.039367857708907e-09,5.098132523591599,1.039367857708907e-09,1.96839288544533
1.042396341338637e-09,0.004191564040697039,1.042396341338637e-09,5.089586323400002,1.042396341338637e-09,2.119817066931837
1.045540767702878e-09,0.001328017024962374,1.045540767702878e-09,5.077638410933084,1.045540767702878e-09,2.277038385143912
1.048828115033146e-09,-0.00206477721843449,1.048828115033146e-09,5.061791325448039,1.048828115033146e-09,2.441405751657313
1.05192351112533e-09,-0.005579483993024015,1.05192351112533e-09,5.043706480524422,1.05192351112533e-09,2.596175556266494
1.054924192119887e-09,-0.009200333012968989,1.054924192119887e-09,5.023204536588904,1.054924192119887e-09,2.746209605994371
1.057444828034013e-09,-0.01239410891265863,1.057444828034013e-09,5.003686693849162,1.057444828034013e-09,2.872241401700657
1.061797920606298e-09,-0.01811757326303408,1.061797920606298e-09,4.965407455357005,1.061797920606298e-09,3.089896030314896
1.064913626857152e-09,-0.02246251664263922,1.064913626857152e-09,4.933942744387073,1.064913626857152e-09,3.245681342857582
1.067833648950894e-09,-0.02675158681339743,1.067833648950894e-09,4.901128442282398,1.067833648950894e-09,3.391682447544698
1.072093852982124e-09,-0.03349549682837395,1.072093852982124e-09,4.84668132375367,1.072093852982124e-09,3.604692649106196
1.074383817182318e-09,-0.03750418762455362,1.074383817182318e-09,4.813386545933716,1.074383817182318e-09,3.719190859115899
1.076617543042199e-09,-0.04186732617902936,1.076617543042199e-09,4.777126098185042,1.076617543042199e-09,3.830877152109937
1.078619251631913e-09,-0.04611337984766594,1.078619251631913e-09,4.741523227712049,1.078619251631913e-09,3.930962581595631
1.08146057205127e-09,-0.05242362916720181,1.08146057205127e-09,4.686968481181199,1.08146057205127e-09,4.073028602563483
1.083565452843575e-09,-0.05740370964237949,1.083565452843575e-09,4.642989688891558,1.083565452843575e-09,4.178272642178758
1.086065286073626e-09,-0.0636883545878633,1.086065286073626e-09,4.586528292242403,1.086065286073626e-09,4.303264303681306
1.088154298415127e-09,-0.06902661534855901,1.088154298415127e-09,4.536849813215707,1.088154298415127e-09,4.407714920756328
1.090079884559296e-09,-0.07397526175652928,1.090079884559296e-09,4.489355042763225,1.090079884559296e-09,4.503994227964796
1.093299481271246e-09,-0.082375919619937,1.093299481271246e-09,4.407172011163136,1.093299481271246e-09,4.664974063562276
1.096649740635623e-09,-0.09155774754255624,1.096649740635623e-09,4.321838067070456,1.096649740635623e-09,4.832487031781145
