/net010 X,/net010 Y,/o1 X,/o1 Y,/net1 X,/net1 Y
1.025809859741667e-09,5.095845789106329,1.025809859741667e-09,0.01252899010519039,1.025809859741667e-09,1.290492987083354
1.029611304861434e-09,5.105766670493472,1.029611304861434e-09,0.01272984245997664,1.029611304861434e-09,1.480565243071679
1.034218733361042e-09,5.113949035879293,1.034218733361042e-09,0.01219977310186482,1.034218733361042e-09,1.710936668052083
1.037942001577342e-09,5.11739009857116,1.037942001577342e-09,0.01121230775091196,1.037942001577342e-09,1.897100078867101
1.041461684662902e-09,5.117980895189956,1.041461684662902e-09,0.00987309151747295,1.041461684662902e-09,2.073084233145086
1.044953047136539e-09,5.115977823410499,1.044953047136539e-09,0.008202553679742196,1.044953047136539e-09,2.247652356826941
1.048455264615469e-09,5.111355927725355,1.048455264615469e-09,0.006226650263931552,1.048455264615469e-09,2.422763230773425
1.052082443468356e-09,5.103790033486841,1.052082443468356e-09,0.003902613493370437,1.052082443468356e-09,2.604122173417795
1.055895907833391e-09,5.092757659028783,1.055895907833391e-09,0.001191527850215197,1.055895907833391e-09,2.79479539166954
1.059960832082564e-09,5.077485445995137,1.059960832082564e-09,-0.002056545869441402,1.059960832082564e-09,2.998041604128197
1.063713580421116e-09,5.060101140939021,1.063713580421116e-09,-0.005329966886128631,1.063713580421116e-09,3.185679021055821
1.067344230265083e-09,5.040188547279558,1.067344230265083e-09,-0.008683138110590814,1.067344230265083e-09,3.367211513254149
1.070655188666351e-09,5.019277881086293,1.070655188666351e-09,-0.01189916546316403,1.070655188666351e-09,3.532759433317565
1.077277105468888e-09,4.96913704858927,1.077277105468888e-09,-0.01878381770183611,1.077277105468888e-09,3.863855273444397
1.079014200491848e-09,4.953645216775087,1.079014200491848e-09,-0.02078729292758573,1.079014200491848e-09,3.950710024592411
1.080982415014998e-09,4.933601124775747,1.080982415014998e-09,-0.02341945054632115,1.080982415014998e-09,4.049120750749889
1.082498978535613e-09,4.915888427708153,1.082498978535613e-09,-0.0257915954087117,1.082498978535613e-09,4.124948926780654
1.084033692784192e-09,4.896336925273622,1.084033692784192e-09,-0.02839596130573684,1.084033692784192e-09,4.201684639209589
1.085489265893455e-09,4.876779261758584,1.085489265893455e-09,-0.03093817120527668,1.085489265893455e-09,4.274463294672747
1.086806566747551e-09,4.858435069906871,1.086806566747551e-09,-0.03325151967153381,1.086806566747551e-09,4.340328337377545
1.088473203373486e-09,4.83441699953046,1.088473203373486e-09,-0.03617971021205323,1.088473203373486e-09,4.423660168674275
1.091384009545335e-09,4.790320258715014,1.091384009545335e-09,-0.04129472607171748,1.091384009545335e-09,4.569200477266762
1.095692004772668e-09,4.719976163801359,1.095692004772668e-09,-0.04888786093514827,1.095692004772668e-09,4.784600238633383
1.1e-09,4.643457217442866,1.1e-09,-0.05653940875127038,1.1e-09,5
1.10072496747588e-09,4.627881347319645,1.10072496747588e-09,-0.05825691375568387,1.10072496747588e-09,5
1.101499965494581e-09,4.611216331802108,1.101499965494581e-09,-0.06005998525713961,1.101499965494581e-09,5
1.102495514797564e-09,4.589795404651176,1.102495514797564e-09,-0.06230940421929187,1.102495514797564e-09,5
1.104435696360054e-09,4.548023035740159,1.104435696360054e-09,-0.06647386450263029,1.104435696360054e-09,5
1.108316059485035e-09,4.464585120033763,1.108316059485035e-09,-0.07403684656150357,1.108316059485035e-09,5
1.112164804649743e-09,4.383325519781635,1.112164804649743e-09,-0.08078641889033111,1.112164804649743e-09,5
1.11542671011468e-09,4.31822523120405,1.11542671011468e-09,-0.08622537030973616,1.11542671011468e-09,5
1.118363741452656e-09,4.263162469755456,1.118363741452656e-09,-0.09086958174364815,1.118363741452656e-09,5
